Variable_Name,Votes
TCP_ack,2
dport_bare,2
TCP_seq,2
BOOTP_flags,1
TCP_dataofs,1
TCP_flags,1
TCP_window,1
TCP_chksum,1
TCP_options,1
UDP_len,1
UDP_chksum,1
BOOTP_xid,1
pck_size,1
dport_class,1
sport_bare,1
TCP_sport,1
TCP_dport,1
UDP_sport,1
UDP_dport,1
payload_bytes,1
entropy,1
sport_class,1
Protocol,1
IP_flags,1
IP_version,1
IP_ttl,1
IP_proto,1
IP_len,1
IP_id,1
IP_ihl,1
DNS_qr,0
DNS_id,0
DNS_z,0
DNS_length,0
BOOTP_options,0
DNS_opcode,0
DNS_aa,0
BOOTP_file,0
DNS_tc,0
BOOTP_sname,0
DNS_rd,0
DNS_ra,0
ICMP_chksum,0
DNS_ad,0
DNS_cd,0
BOOTP_secs,0
DNS_qdcount,0
DNS_ancount,0
DNS_nscount,0
DNS_arcount,0
IP_tos,0
EAPOL_len,0
EAPOL_type,0
EAPOL_version,0
LLC_ctrl,0
LLC_ssap,0
LLC_dsap,0
DNS_rcode,0
BOOTP_hops,0
IP_Z,0
TCP_SYN,0
ICMP_seq,0
ICMP_ts_ori,0
ICMP_ts_rx,0
ICMP_ts_tx,0
ICMP_ptr,0
ICMP_reserved,0
ICMP_length,0
ICMP_nexthopmtu,0
ICMP_code,0
ICMP_type,0
IP_options,0
TCP_reserved,0
TCP_FIN,0
TCP_RST,0
ICMP_id,0
TCP_PSH,0
TCP_ACK,0
TCP_URG,0
TCP_ECE,0
Ether_type,0
IP_frag,0
TCP_urgptr,0
IP_DF,0
IP_MF,0
DHCP_options,0
BOOTP_op,0
BOOTP_htype,0
BOOTP_hlen,0
TCP_CWR,0
